id,name,owasp_category,risk_level,prevention_pattern,tooling_ref,2025_standard,checklist_item
sec_broken_access,Broken Access Control,A01:2025 Broken Access Control,Critical,Enforce 'Deny by Default'. Implement RBAC/ABAC middleware globally. Use Policy-as-Code for complex logic.,Open Policy Agent (OPA) | Casbin | Keycloak,Chuyển dịch sang ABAC (Attribute-Based Access Control) để linh hoạt hơn. Không tin tưởng ID từ client (Insecure Direct Object References).,Are API endpoints protected by default? Is resource ownership checked before access?
sec_injection,Injection (SQL/Command),A03:2025 Injection,Critical,Use ORM/Query Builders (Prisma/TypeORM/SQLx). NEVER string concat SQL. Validate inputs with Zod/Pydantic.,SonarQube | Snyk Code | sqlmap (testing),Sử dụng Type-Safe SQL (như sqlx trong Rust hoặc jOOQ trong Java) để check query lúc compile-time.,Are strictly parameterized queries used? Is input validation applied at the edge?
sec_cryptographic,Cryptographic Failures,A02:2025 Cryptographic Failures,High,Encrypt sensitive data at rest (AES-256). Use TLS 1.3 only. Never hardcode keys.,HashiCorp Vault | Tink (Google) | Cert-Manager,Chuẩn bị cho 'Post-Quantum Cryptography' (PQC). Rotate keys tự động mỗi 90 ngày.,Is data encrypted at rest and in transit? Are keys managed by a KMS/Vault?
sec_supply_chain,Vulnerable Dependencies,A06:2025 Vulnerable Components,High,Automate Dependency Scanning in CI/CD. Generate SBOM (Software Bill of Materials).,Trivy | Dependabot | Renovate | Sigstore,Bắt buộc ký (Signing) container images và artifacts (Cosign/Sigstore) để chống giả mạo.,Is SBOM generated? Are container images signed?
sec_broken_auth,Authentication Failures,A07:2025 Identification Failures,Critical,Multi-Factor Authentication (MFA). Disable sessions after inactivity. Rate Limit login attempts.,Auth0 | Clerk | SuperTokens | Redis (Rate Limit),Chuẩn OAuth 2.1. Sử dụng Passkeys (WebAuthn) thay cho mật khẩu truyền thống nếu có thể.,Is MFA enforced for admin? Are sessions invalidated on logout?
sec_misconfig,Security Misconfiguration,A05:2025 Security Misconfiguration,High,Infrastructure as Code (IaC) scanning. Disable default accounts/ports. Remove debug endpoints.,Checkov | Trivy (Config) | Kubescape,GitOps workflow để quản lý cấu hình. Không SSH trực tiếp vào server (Immutable Infrastructure).,Is debug mode disabled in Prod? Are default passwords changed?
sec_ssrf,Server-Side Request Forgery,A10:2025 SSRF,Medium,Validate & Whitelist target URLs. Network segmentation (Service Mesh). Don't allow loopback access.,Cilium (Network Policy) | Istio,Sử dụng Egress Filtering chặt chẽ trong Kubernetes (chỉ cho phép gọi ra các domain định trước).,Does the server validate user-supplied URLs? Is access to internal metadata blocked?
sec_logging,Logging & Monitoring Failures,A09:2025 Logging Failures,Medium,Centralized Logging (ELK/Loki). Audit sensitive actions. Ensure logs don't contain PII/Secrets.,Elastic Stack | Grafana Loki | Splunk,Log ở format JSON cấu trúc (Structured Logging) để dễ dàng tích hợp với SIEM/AI Analysis.,Are critical actions (login/failed access) logged? Is PII redacted from logs?
sec_secrets_mgmt,Secrets Management,N/A (General Best Practice),Critical,Inject secrets at runtime via Volume/Env. NO secrets in Git. Use External Secrets Operator.,External Secrets Operator | Infisical | AWS Secrets Manager,Ngừng dùng.env file trong production container. Dùng cơ chế 'Dynamic Secrets' của Vault.,Are secrets stored in Git? Are secrets injected securely at runtime?
sec_api_security,API Security (Broken Object Level Auth),OWASP API Top 10,High,Validate schema on every request/response. Use API Gateway for throttling/auth.,Kong | Tyk | Zuplo | 42Crunch,Áp dụng 'Schema Validation' chặt chẽ (OpenAPI/Swagger) tại Gateway trước khi request vào Service.,Is API traffic rate-limited? Are IDORs checked in every handler?
sec_container,Container Security,N/A (Cloud Native),High,Run as non-root user. Use minimal base images (Distroless/Alpine). Read-only root filesystem.,Chainguard Images | Docker Scout | Falco (Runtime),Sử dụng 'Distroless' images để giảm bề mặt tấn công (không shell, không package manager).,Does the container run as root? Is the base image minimal/distroless?
sec_dos,Denial of Service (DoS),N/A (Resiliency),Medium,Implement Rate Limiting (Token Bucket). Set timeouts for all upstream calls. Circuit Breakers.,Redis | Resilience4j | Sonyflake,Triển khai Rate Limiting phân tán (Distributed Rate Limiting) và Adaptive Throttling.,Are timeouts configured for DB/API calls? Is rate limiting active?
sec_data_privacy,Data Privacy (GDPR/CCPA),N/A (Compliance),High,Data Minimization. Right to be Forgotten (Soft delete vs Hard delete). PII masking.,Privacera | OneTrust,Hỗ trợ 'Data Residency' (lưu dữ liệu đúng vùng địa lý) và 'Column-level Encryption' cho PII.,Is user consent tracked? Can user data be completely deleted?
sec_graphql,GraphQL Security,OWASP API Security,High,Query Depth Limiting. Disable Introspection in Prod. Complexity Analysis.,Apollo Armor | GraphQL Shield,Chặn 'Cyclic Queries'. Sử dụng Persisted Queries để tránh injection query độc hại.,Is Introspection disabled? Is Query Depth limited?
