No,Product_Category,Recommended_Architecture,Stack_Priority,Database_Priority,API_Pattern,Key_Components,Decision_Rules,Anti_Patterns,Severity
1,E-commerce Platform,arch_modular_monolith,Node + TypeScript + Go,PostgreSQL + Redis + ElasticSearch,REST + GraphQL,Inventory Service | Payment Gateway | Cart | Order State Machine,"{""if_high_traffic"": ""add-redis-cache"", ""must_have"": ""outbox-pattern"", ""if_search"": ""add-elasticsearch""}",Distributed transactions without Saga | Direct DB calls between modules | No inventory locking,HIGH
2,B2B SaaS Application,arch_clean_hexagonal,Node + TypeScript + Python,PostgreSQL (RLS) + Redis,REST + tRPC,Multi-tenant Isolation | RBAC Engine | Subscription Lifecycle,"{""must_have"": ""row-level-security"", ""must_have"": ""audit-logging"", ""if_sso"": ""add-saml-oidc""}",Tenant data leakage | No audit trail | Shared tables without isolation,CRITICAL
3,Fintech / Digital Wallet,arch_cqrs_es,Java 21 + Kotlin + Go,PostgreSQL + Event Store + Redis,gRPC + REST,Double-entry Ledger | Idempotency Keys | Fraud Detection | KYC,"{""must_have"": ""idempotency-keys"", ""must_have"": ""audit-immutable"", ""must_have"": ""encryption-at-rest""}",Mutable transaction logs | No idempotency | Single-entry bookkeeping | Weak auth,CRITICAL
4,Social Network / Community,arch_space_based,Go + Elixir + Node,Cassandra + Redis + Neo4j,GraphQL + WebSocket,Feed Generation | Graph Relationships | Media Processing | Notifications,"{""must_have"": ""fan-out-on-write"", ""if_graph_heavy"": ""use-neo4j"", ""must_have"": ""async-media""}",Synchronous feed generation | N+1 queries on relationships | No CDN for media,HIGH
5,Real-time Chat / Messaging,arch_event_driven,Elixir + Go + Rust,ScyllaDB + Redis + PostgreSQL,WebSocket + gRPC,Actor Model Rooms | Message Persistence | Presence System | Offline Sync,"{""must_have"": ""websocket-clustering"", ""must_have"": ""message-ordering"", ""if_scale"": ""use-scylladb""}",Polling instead of WebSocket | No offline support | Single WebSocket server,HIGH
6,AI Agent / RAG System,arch_ai_agentic,Python + Node + Go,PostgreSQL (pgvector) + Qdrant + Redis,REST + SSE + MCP,LLM Orchestrator | Vector Store | Tool Registry | Context Manager,"{""must_have"": ""streaming-response"", ""must_have"": ""context-window-mgmt"", ""if_multi_agent"": ""add-orchestrator""}",Blocking LLM calls | No streaming | Unbounded context | No tool sandboxing,HIGH
7,IoT / Telemetry Dashboard,arch_event_driven,Go + Rust + Python,TimescaleDB + ClickHouse + Redis,MQTT + gRPC + REST,Time-series Ingestion | Downsampling | Alert Engine | Device Registry,"{""must_have"": ""timeseries-db"", ""must_have"": ""data-retention-policy"", ""if_high_frequency"": ""use-mqtt""}",Row-oriented DB for metrics | No downsampling | Synchronous ingestion,HIGH
8,Two-sided Marketplace,arch_modular_monolith,Node + TypeScript + Go,PostgreSQL + Redis + PostGIS,REST + GraphQL,Escrow Payments | Booking State Machine | Geo-spatial Search | Reviews,"{""must_have"": ""state-machine"", ""must_have"": ""optimistic-locking"", ""if_geo"": ""use-postgis""}",Double booking without locking | No escrow | Missing dispute flow,HIGH
9,Streaming / Content Platform,arch_serverless,Node + Python + Go,DynamoDB + S3 + CloudFront,REST + HLS/DASH,CDN Integration | Transcoding Pipeline | DRM | Signed URLs,"{""must_have"": ""signed-urls"", ""must_have"": ""cdn-integration"", ""if_drm"": ""add-widevine""}",Direct S3 access | No transcoding | Missing DRM for premium content,HIGH
10,Booking / Reservation System,arch_modular_monolith,Go + Node + Python,PostgreSQL + Redis,REST + GraphQL,Slot Generator | Optimistic Locking | Calendar Sync | Timezone Handler,"{""must_have"": ""optimistic-locking"", ""must_have"": ""utc-storage"", ""if_recurring"": ""add-rrule""}",Race conditions on booking | Local timezone storage | No conflict detection,HIGH
11,Learning Management System,arch_layered,Python (Django) + Node,PostgreSQL + Redis + S3,REST + GraphQL,Course Tree Structure | Progress Tracker | Quiz Engine | Certificate Generator,"{""must_have"": ""progress-async"", ""must_have"": ""video-streaming"", ""if_scorm"": ""add-scorm-parser""}",Synchronous progress calculation | No video CDN | Missing offline support,MEDIUM
12,CRM System,arch_modular_monolith,Node + TypeScript + Python,PostgreSQL + ElasticSearch + Redis,REST + GraphQL,Custom Fields (JSONB) | Pipeline Engine | Email Sync | Workflow Automation,"{""must_have"": ""jsonb-custom-fields"", ""must_have"": ""fulltext-search"", ""if_email"": ""add-imap-sync""}",EAV pattern for custom fields | No search indexing | Tight coupling with email,MEDIUM
13,Analytics Platform,arch_bigdata_lambda,Python + Go + Rust,ClickHouse + Kafka + Redis,REST + gRPC,Event Ingestion | Batch Processing | Real-time Aggregation | Dashboard Cache,"{""must_have"": ""columnar-db"", ""must_have"": ""pre-aggregation"", ""if_realtime"": ""add-kafka-streams""}",Row-oriented DB for events | No data partitioning | Query without indexes,HIGH
14,Logistics / Delivery App,arch_event_driven,Go + Rust + Node,PostgreSQL + Redis Geo + Kafka,gRPC + WebSocket + REST,Geo-tracking | Route Optimization | Dispatch Algorithm | ETA Calculator,"{""must_have"": ""geo-indexing"", ""must_have"": ""realtime-tracking"", ""if_optimization"": ""add-or-tools""}",Polling for location | No geo-spatial index | Synchronous dispatch,HIGH
15,Web Crawler / Scraper,arch_event_driven,Go + Python + Node,Redis + PostgreSQL + S3,REST + gRPC,Job Queue | Proxy Pool | Rate Limiter | HTML Parser | CAPTCHA Solver,"{""must_have"": ""job-queue"", ""must_have"": ""proxy-rotation"", ""if_js"": ""add-headless-browser""}",No rate limiting | Single IP | Memory leak in browser pool,MEDIUM
16,Healthcare / Medical App,arch_clean_hexagonal,Java + Node + Python,PostgreSQL + Redis + S3,REST + HL7 FHIR,Patient Records | HIPAA Compliance | Audit Trail | Encryption,"{""must_have"": ""hipaa-compliance"", ""must_have"": ""encryption-everywhere"", ""must_have"": ""audit-immutable""}",PHI data exposure | No encryption | Missing audit logs | Weak auth,CRITICAL
17,Banking / Traditional Finance,arch_cqrs_es,Java 21 + Kotlin,PostgreSQL + Event Store + Redis,gRPC + REST,Core Banking | Ledger | Regulatory Reporting | Fraud Detection,"{""must_have"": ""double-entry"", ""must_have"": ""regulatory-reporting"", ""must_have"": ""disaster-recovery""}",Single-entry accounting | No audit trail | Missing DR plan,CRITICAL
18,Gaming Backend,arch_space_based,Go + Rust + Elixir,Redis + ScyllaDB + PostgreSQL,WebSocket + gRPC,Game State Manager | Matchmaking | Leaderboard | Anti-cheat,"{""must_have"": ""low-latency"", ""must_have"": ""state-sync"", ""if_competitive"": ""add-anticheat""}",High latency state sync | No cheat detection | Database bottleneck,HIGH
19,Subscription Box Service,arch_modular_monolith,Node + TypeScript,PostgreSQL + Redis + Stripe,REST + Webhooks,Subscription Lifecycle | Box Personalization | Inventory Sync | Billing,"{""must_have"": ""webhook-idempotency"", ""must_have"": ""subscription-state"", ""if_personalized"": ""add-quiz""}",Missing webhook retry | No subscription state machine | Manual billing,MEDIUM
20,Podcast / Audio Platform,arch_serverless,Node + Python + Go,PostgreSQL + S3 + CloudFront + Redis,REST + RSS,Audio Processing | RSS Feed Generator | Analytics | Transcript Generator,"{""must_have"": ""audio-cdn"", ""must_have"": ""rss-standard"", ""if_transcript"": ""add-whisper""}",No CDN for audio | Non-standard RSS | Synchronous transcription,MEDIUM
21,Job Board / Recruitment,arch_modular_monolith,Node + TypeScript + Python,PostgreSQL + ElasticSearch + Redis,REST + GraphQL,Job Matching | Application Tracking | Resume Parser | Email Notifications,"{""must_have"": ""search-indexing"", ""must_have"": ""application-state"", ""if_ai"": ""add-resume-parser""}",No search optimization | Missing ATS state machine | No duplicate detection,MEDIUM
22,Event Management Platform,arch_modular_monolith,Node + TypeScript,PostgreSQL + Redis + Stripe,REST + WebSocket,Ticket Inventory | QR Generator | Check-in System | Waitlist,"{""must_have"": ""inventory-locking"", ""must_have"": ""qr-validation"", ""if_virtual"": ""add-streaming""}",Overselling tickets | No QR security | Race condition on purchase,HIGH
