id,technology,element_type,convention,example,anti_pattern,note
conv_py_var,Python,Variable,snake_case,user_id,userId,Python PEP8 standard.
conv_py_func,Python,Function,snake_case,get_user_by_id,getUserById,Python PEP8 standard.
conv_py_class,Python,Class,PascalCase,UserProfile,user_profile,Classes are always PascalCase.
conv_py_const,Python,Constant,UPPER_SNAKE_CASE,MAX_RETRY_COUNT,maxRetryCount,Global constants only.
conv_py_file,Python,File,snake_case,user_service.py,UserService.py,Modules should be short, lowercase.
conv_go_var,Go,Variable,camelCase,userID,user_id,Go prefers short names. 'ID' should be uppercase (userID, not userId).
conv_go_pub_func,Go,Function (Public),PascalCase,GetUser,getUser,Capitalize first letter to export.
conv_go_priv_func,Go,Function (Private),camelCase,validateInput,ValidateInput,Lowercase first letter to keep private.
conv_go_file,Go,File,snake_case,user_handler.go,userHandler.go,Test files must end with _test.go.
conv_js_var,Node.js/TS,Variable,camelCase,userId,user_id,Standard JS/TS convention.
conv_js_class,Node.js/TS,Class,PascalCase,UserService,userService,Classes and Interfaces use PascalCase.
conv_js_file,Node.js/TS,File,kebab-case,user-service.ts,userService.ts,Angular/NestJS style (preferred for modern backend).
conv_java_var,Java,Variable,camelCase,userId,user_id,Standard Java convention.
conv_java_class,Java,Class,PascalCase,UserController,userController,Classes always PascalCase.
conv_java_const,Java,Constant,UPPER_SNAKE_CASE,DEFAULT_TIMEOUT,defaultTimeout,Static final variables.
conv_rust_var,Rust,Variable,snake_case,user_id,userId,Rust compiler warns on non-snake_case.
conv_rust_struct,Rust,Struct/Enum,PascalCase,UserAccount,user_account,Types are PascalCase.
conv_rust_const,Rust,Constant,UPPER_SNAKE_CASE,MAX_BUFFER_SIZE,maxBufferSize,Constants and Statics.
conv_sql_table,PostgreSQL/MySQL,Table,snake_case,user_accounts,UserAccounts,Postgres folds unquoted names to lowercase. Avoid mixed case. Plural names preferred.
conv_sql_col,PostgreSQL/MySQL,Column,snake_case,created_at,createdAt,ORM maps this to camelCase in code automatically.
conv_sql_pk,PostgreSQL,Primary Key,snake_case,id,user_id,Simple 'id' is preferred over 'table_id' for primary key.
conv_sql_fk,PostgreSQL,Foreign Key,snake_case,user_id,userId,Foreign key usually explicitly names the referenced table (singular) + _id.
conv_mongo_coll,MongoDB,Collection,camelCase,userAccounts,user_accounts,Matches JSON/BSON field style usually found in JS apps.
conv_mongo_field,MongoDB,Field,camelCase,firstName,first_name,Matches JS object properties.
conv_redis_key,Redis,Key,colon_separated,user:1001:session,user_1001_session,Use colons to namespace keys.
conv_rest_url,REST API,URL Path,kebab-case,/api/v1/user-profiles,/api/v1/userProfiles,URLs should be lowercase and kebab-case. Plural nouns for resources.
conv_graphql_field,GraphQL,Field,camelCase,firstName,first_name,GraphQL standard is camelCase for fields.
conv_graphql_type,GraphQL,Type,PascalCase,UserResponse,user_response,Types and Interfaces are PascalCase.
